title,총 댓글 수,이벤트 참여 수,확정 민원 수,긍정적 반응 수,민원 발생률(%),순수 긍정률(%)
#오늘 #인하대를 당신의 #시선으로,2,0,0,2,0.0,100.0
2025 미추홀구 주민자치어울마당 | 도화1동 스포츠댄스 #주민자치센터 #미추홀구 #미추홀미디어문화축제 #주민자치 #주민자치어울마당,1,0,0,1,0.0,100.0
2025 미추홀구 주민자치어울마당 | 도화2.3동 라인댄스 #주민자치센터 #미추홀구 #미추홀미디어문화축제 #주민자치 #주민자치어울마당,1,0,0,1,0.0,100.0
2025 미추홀구 주민자치어울마당 | 숭의4동 다이어트댄스 #주민자치센터 #미추홀구 #미추홀미디어문화축제 #주민자치 #주민자치어울마당,2,0,0,2,0.0,100.0
2025 미추홀구 주민자치어울마당 | 용현2동 기타교실 #주민자치센터 #미추홀구 #미추홀미디어문화축제 #주민자치 #주민자치어울마당,1,0,0,1,0.0,100.0
2025 미추홀구 주민자치어울마당 | 주안6동 방송댄스 #댄스 #이벤트 #축제 #미추홀구 #주민자치센터 #어린이,1,0,0,1,0.0,100.0
2025 미추홀구 주민자치어울마당 | 주안8동 핫라핏댄스 #댄스 #이벤트 #축제 #미추홀구 #주민자치센터 #핫라핏댄스,1,0,0,1,0.0,100.0
[Teaser] 이짜나언짜나와 함께하는 미추송 챌린지 이벤트,1,0,0,1,0.0,100.0
"[미추홀구] 병오년 새해, 언제나 행복과 건강이 함께 하길 기원드립니다😊 | 이영훈 미추홀구청장 신년사  #병오년 #새해 #2026 #새해에도열심히뛰겠습니다",8,0,0,7,0.0,87.5
[미추홀구] 보름달처럼 밝고 풍요로운 한가위 되세요~ ㅣ 이영훈 미추홀구청장 2025 추석 인사말씀👨‍👩‍👦‍👦🌕🧡,1,0,0,1,0.0,100.0
[미추홀구] 새로운 변화 함께 뛰는 미추홀구 ~ 더 나은 미추홀구를 위해 최선을 다하겠습니다 | 민선8기 취임 3주년 #미추홀구 #민선8기,2,0,0,2,0.0,100.0
[예고] 미추홀구 한복판에서 벌어지는 두 남자의 결투?ㅣ배우 이재용 × 김기환의 [미추홀 동네 한 바퀴] Teaser,9,0,0,8,0.0,88.89
[이벤트] 이짜나언짜나와 함께하는 미추송 챌린지  #이짜나언짜나 #미추송챌린지 #댄스챌린지 #이벤트 #미추홀미디어문화축제,25,1,0,22,0.0,91.67
[인하대 X 미추홀릭 TV] EP. 문학동 ㅣ 문학동가면 궁전으로 갈 수도있어~🎶🎵 | 이주자 EP.1,1,0,0,1,0.0,100.0
[인하대 X 미추홀릭TV] EP.용현 1.4동ㅣ'영감이 머무는 거리' 아트필름,1,0,0,1,0.0,100.0
[인하대 X 미추홀릭TV] EP.용현3동 ㅣ용현시장에서 펼쳐지는 끝말잇기 대결! '용현한 게임',1,0,0,1,0.0,100.0
[인하대 X 미추홀릭TV] EP.주안동ㅣ'미추홀송-주안편' MV,359,10,0,345,0.0,98.85
[학익용현 이야기] 마을의 옛 흔적과 기억을 찾아서~  | 학산문화원 학익동 용현동 변화 기록전 #미추홀구 #학익동 #용현동 #동양제철화학 #도시변화,1,0,0,0,0.0,0.0
"가을 낭만과 추억, 미추홀라이프😊😂❤️ #축제 #가을 #수봉공원 #국화축제 #추억 #여행 #책 #도서관",1,0,0,1,0.0,100.0
가을앤미추 #미추홀구 #수봉산페스티벌 #수봉공원 #국화 전시회 #경제특화 도서관 #장민호 #경서 #백지영 #육중완밴드,3,0,0,3,0.0,100.0
