platform,title,url,video_id,author,comment,language,likes,published_at,type
YouTube,사람으로 채워지는 미추홀!ㅣ배우 이재용×김기환의 [미추홀 동네 한 바퀴] EP.2,https://youtu.be/GyILpEk7Pwg,GyILpEk7Pwg,@꽃부리영00,토지금고 시장에서 만난 젊은 상인분들의 파이팅 넘치는 모습이 기억에 남아요! 04:17 시장 골목에 활기를 더하는 젊은 사장님들의 열정이 정말 멋지십니다. 특히 05:13 이재용 배우님이 반찬 맛보시고 찐으로 감탄하시는 모습에 저도 배가 고파지더라고요. 😂 대형마트에서는 느낄 수 없는 전통시장만의 매력을 고퀄리티 영상으로 담아주셔서 감사합니다. 미추홀구의 숨은 보석 같은 맛집들 더 많이 알려주세요!,ko,1,2025-12-25T14:23:42Z,top_comment
YouTube,사람으로 채워지는 미추홀!ㅣ배우 이재용×김기환의 [미추홀 동네 한 바퀴] EP.2,https://youtu.be/GyILpEk7Pwg,GyILpEk7Pwg,@우가사모,미추홀구를 잘 몰랐는데 이번 영상을 통해 한 번 직접 가보고 싶어졌어요.,ko,0,2025-12-24T07:50:36Z,top_comment
YouTube,사람으로 채워지는 미추홀!ㅣ배우 이재용×김기환의 [미추홀 동네 한 바퀴] EP.2,https://youtu.be/GyILpEk7Pwg,GyILpEk7Pwg,@twotwonine5615,특별하거나 화려하지 않지만 사람이 사는 냄새가 나는 영상이네요..미추홀구의 은근한 매력을 느낄수 있는 영상이었습니다..^^,ko,0,2025-12-19T14:47:37Z,top_comment
YouTube,맛이라는 것이 폭발한다 (feat. 청년창업 특화거리) | [유노의 먹방 원정대] EP.2,https://youtu.be/Zg63f129iAk,Zg63f129iAk,@n-g9p,"정답: 1번 청년창업특화거리
유노님 먹방 좋앗는데 여기서도 최고! 
모든 디저트 사장님들도 최고!",ko,0,2025-05-01T05:20:18Z,top_comment
YouTube,아름다운 미추홀구에서 벌어진 뜻밖의 전개?ㅣ배우 이재용×김기환의 [미추홀 동네 한 바퀴] EP.1,https://youtu.be/py7ERQBYwH8,py7ERQBYwH8,@sooin0101,"바람숲길
영상에서 느껴지는 따스함 그리고 미추홀구의 모습들이 참 매력적이네요.",ko,0,2025-12-15T00:42:08Z,top_comment
YouTube,🎉2025 제22회 미추홀미디어문화축제🎉 개최! #미추홀구 #미추홀미디어문화축제 #축제 #가을 #이벤트,https://youtube.com/shorts/WNEdPIcUB6k,WNEdPIcUB6k,@오승민-u4z,"제22회 미추홀미디어문화축제 앞으로 더욱더 큰 관심과 사랑받길 진심으로 소망합니다~

항상 즐겁고 행복한 일들만 함께하시길 진심으로 바라며, 앞으로 더욱더 번창하세요~항상 응원합니다~ 파이팅~",ko,0,2025-09-11T05:41:15Z,top_comment
YouTube,아름다운 미추홀구에서 벌어진 뜻밖의 전개?ㅣ배우 이재용×김기환의 [미추홀 동네 한 바퀴] EP.1,https://youtu.be/py7ERQBYwH8,py7ERQBYwH8,@ysy2012,"정답 : 바람길숲
마음이 편안해지네여😊",ko,0,2025-12-15T04:22:37Z,top_comment
YouTube,먹방 유튜버 유노! 떡볶이 33인분 클리어 도전?! (feat. 인하 문화의 거리) | [유노의 먹방 원정대] EP.1,https://youtu.be/RL7DPDkCFI4,RL7DPDkCFI4,@bangpo215,미추홀구 골목상권 영상을 보니 맛있고 가격도 괜찮은 거 같네요 점점 더 커지는 골목상권이 되면 좋겠어요,ko,0,2025-04-16T08:50:11Z,top_comment
YouTube,🎉2025 제22회 미추홀미디어문화축제🎉 개최! #미추홀구 #미추홀미디어문화축제 #축제 #가을 #이벤트,https://youtube.com/shorts/WNEdPIcUB6k,WNEdPIcUB6k,@노오란-e9k,"제22회 미추홀 미디어문화축제
너무 기대되요
많은 분들 찾는 행복한 축제되기를 기대하고 응원합니다
새로운소식 기대하고 자주 방문하겠습니다 많은 사랑 받으세요 즐거운 시간 보내요 소통하는 시간 함께 나누어요✅",ko,1,2025-09-19T04:53:40Z,top_comment
YouTube,사람으로 채워지는 미추홀!ㅣ배우 이재용×김기환의 [미추홀 동네 한 바퀴] EP.2,https://youtu.be/GyILpEk7Pwg,GyILpEk7Pwg,@리이이비,보고 나니 미추홀구가 어떤 곳인지 자연스럽게 기억에 남네요. 다음 이야기도 기대하겠습니다.,ko,0,2025-12-24T00:58:26Z,top_comment
YouTube,사람으로 채워지는 미추홀!ㅣ배우 이재용×김기환의 [미추홀 동네 한 바퀴] EP.2,https://youtu.be/GyILpEk7Pwg,GyILpEk7Pwg,@뉴수진쓰,토지금고시장을 중심으로 이어지는 사람들의 이야기가 참 정겹게 느껴졌어요.,ko,0,2025-12-24T00:36:11Z,top_comment
YouTube,맛이라는 것이 폭발한다 (feat. 청년창업 특화거리) | [유노의 먹방 원정대] EP.2,https://youtu.be/Zg63f129iAk,Zg63f129iAk,@similarcity,"정답: 1. 청년창업 특화거리 
청년들의 뜨거운 열정과 맛있는 아이디어가 폭발하는 현장! 🔥 유노윤호 님의 맛깔나는 진행과 더불어 청년 창업가들의 개성 넘치는 음식들을 보니 저절로 미소가 지어지네요! 각자의 스토리가 담긴 특별한 메뉴들을 맛보고 싶다는 강렬한 욕구가 솟아오릅니다! 침샘 폭발! 🤤 입니다~",ko,0,2025-05-04T10:18:15Z,top_comment
YouTube,아름다운 미추홀구에서 벌어진 뜻밖의 전개?ㅣ배우 이재용×김기환의 [미추홀 동네 한 바퀴] EP.1,https://youtu.be/py7ERQBYwH8,py7ERQBYwH8,@tntor7722,"정답: 바람숲길
미추홀릭TV 유튜브 활동을 응원해요!",ko,0,2025-12-16T10:04:08Z,top_comment
YouTube,[인하대 X 미추홀릭TV] EP.주안동ㅣ'미추홀송-주안편' MV,https://youtu.be/fCacN41Wy0U,fCacN41Wy0U,@kimminson315,"수봉공원, 낙엽이 예쁠 것 같아요",ko,0,2025-11-14T07:47:50Z,top_comment
YouTube,원도사제 | 인천과 미추홀구의 풍요와 안녕을💕😊😊~ #서해_유일 #국가제사 #미추홀구 #전통 #인천 #가을,https://youtube.com/shorts/JSpmuFfd3wg?feature=share,JSpmuFfd3wg,@宇宙塵-z9m,21세기에 이 무슨 허접? 국민 세금이 아깝다!,ko,0,2025-10-29T05:28:30Z,top_comment
YouTube,맛이라는 것이 폭발한다 (feat. 청년창업 특화거리) | [유노의 먹방 원정대] EP.2,https://youtu.be/Zg63f129iAk,Zg63f129iAk,@hyunsookim2960,"정답: 1번 청년창업 특화거리

솔직히 처음엔 먹방인가 싶었는데 보면 볼수록 뭔가 귀엽고 알찼어요! 
먹으면서 수다 떨듯 자연스럽게 청년 창업 거리 소개하는 방식이 좋았는데, 무거운 정보 말고 진짜 그 거리 안에서 벌어지는 이야기를 보여줘서 훨씬 몰입도 잘 됐고, 중간에 사장님이랑 인터뷰하면서 월세가 힘들다고 하는 부분에서 아 현실이다 싶었습니다 그걸 구청이 지원해주고 있다는 설명 들으니까 진짜 든든하겠다 싶었네요
창업하려는 대학생들이 현실적인 조언도 듣고, 직접 도장 체험 같은 것도 하고, 말 그대로 체험형 거리라는 느낌이 강했어요
보다 보면 나도 가서 뭔가 해보고 싶다는 생각이 드는 영상이었고, 보기 편하고 분위기도 유쾌해서 끝까지 지루하지 않았어요
청년 창업이라는 주제를 이렇게 부담 없이 잘 풀어낸 콘텐츠는 드물 것 같아요",ko,0,2025-05-03T10:17:11Z,top_comment
YouTube,천하제일 먹방대결 (feat. 신기시장) | [유노의 먹방 원정대] EP.3,https://youtu.be/8PWZh2h1ftA,8PWZh2h1ftA,@gijunchae3492,미추홀구 신기시장 골목상권 활성화를 위한 뜻깊은 노력들을 응원하겠습니다!!,ko,0,2025-05-12T12:24:26Z,top_comment
YouTube,사람으로 채워지는 미추홀!ㅣ배우 이재용×김기환의 [미추홀 동네 한 바퀴] EP.2,https://youtu.be/GyILpEk7Pwg,GyILpEk7Pwg,@gimgeunmog3,미추홀의 이야기 잘 감상했어요 정감 넘치고 볼거리 가득한 토지금고시장 최고네요,ko,0,2025-12-25T12:50:31Z,top_comment
YouTube,[인하대 X 미추홀릭TV] EP.주안동ㅣ'미추홀송-주안편' MV,https://youtu.be/fCacN41Wy0U,fCacN41Wy0U,@공신성,도호부관아,ko,0,2025-11-12T07:41:38Z,top_comment
YouTube,아름다운 미추홀구에서 벌어진 뜻밖의 전개?ㅣ배우 이재용×김기환의 [미추홀 동네 한 바퀴] EP.1,https://youtu.be/py7ERQBYwH8,py7ERQBYwH8,@KDKDKDKD_1,"정답: 바람길숲
수인선 바람길숲이 일제 강점기 소금과 쌀을 실어 나르던 협궤 철도였다는 역사적 배경과 주민들의 노력으로 아름다운 도시 공원으로 재탄생했다는 사실이 인상 깊었습니다.
​하지만 미추홀구의 가장 큰 매력은 '발상의 전환'으로 과거의 공간을 현재의 가치로 승화시킨 곳들이었습니다. 37년간 목욕탕이었던 양지탕이 주민들의 어울림 공간으로, 그리고 슬픈 사연이 담긴 아리마을이 작은 화분들로 시작해 아름다운 마을로 거듭났다는 이야기는 잔잔한 감동을 주었습니다. 미추홀구는 정말 '정겹고 따뜻한 이야기'가 흐르는 곳이네요. 다음 동네 한 바퀴도 기대하겠습니다!🫰",ko,0,2025-12-16T02:32:13Z,top_comment
YouTube,[인하대 X 미추홀릭TV] EP.주안동ㅣ'미추홀송-주안편' MV,https://youtu.be/fCacN41Wy0U,fCacN41Wy0U,@denisrow3908,수봉공원에서 해주세요~ 야경도 보면서요^^,ko,0,2025-11-14T07:06:03Z,top_comment
YouTube,먹방 유튜버 유노! 떡볶이 33인분 클리어 도전?! (feat. 인하 문화의 거리) | [유노의 먹방 원정대] EP.1,https://youtu.be/RL7DPDkCFI4,RL7DPDkCFI4,@OriOriMan,"동네에 이렇게 오랜시간 함께한 떡볶이집 있으면 너무 좋죠 !! ㅎ
이모떡 즉석떡볶이 양도 푸짐하고 가격도 착하고 진짜 대박나시길 바랍니다 !! 
유노의 먹방 원정대 1편 너무 잘 봤고 다음편도 기대할게요 ㅎ",ko,1,2025-04-24T12:37:23Z,top_comment
YouTube,천하제일 먹방대결 (feat. 신기시장) | [유노의 먹방 원정대] EP.3,https://youtu.be/8PWZh2h1ftA,8PWZh2h1ftA,@미미벨,미추홀구 골목상권 응원합니다 좋은 영상 감사드리고 응원합니다,ko,0,2025-05-04T18:20:20Z,top_comment
